MSS	V	B	TQ	lambda t
1.22594077833795	17.3032787403963	1.22705559617938	1.01465458207124e-16	0.664113050112687	232
1.23937168305941	17.0796476952805	1.23098594670007	8.30728891334445e-17	0.660303050315301	232.200000000000
1.27079849227753	17.0964380069967	1.23409973851410	7.51674389095340e-17	0.657520465037564	232.300000000000
1.29675942552565	17.0095612498445	1.23615128271048	7.15014927813974e-17	0.662859251555392	232.350000000000
1.31505209948941	16.9516471969230	1.23781710686759	6.80143322128341e-17	0.666143174285503	232.400000000000
1.35151300170426	16.7732162074400	1.24246498031661	5.85404894035993e-17	0.668232811922435	232.550000000000
1.35287748533992	16.7281086332905	1.24408714040571	5.56854402320563e-17	0.668982096446967	232.600000000000
1.34718820220962	16.7734709739382	1.24605471679922	5.29696333208551e-17	0.668372258480926	232.650000000000
1.34499699723351	16.7694654037954	1.24795573406985	5.03862720650018e-17	0.670179648556554	232.700000000000
1.33060765549211	16.7355229791399	1.24978430139211	4.79289067539905e-17	0.670540818775876	232.750000000000
1.32354409502349	16.6318802684206	1.25123356887099	4.55913901207971e-17	0.671109428716152	232.800000000000
1.32093686720965	16.5487217512749	1.25264232239907	4.33678638385272e-17	0.672316167290443	232.850000000000
1.29992859752177	16.4202424375481	1.25435716168479	4.12527837695754e-17	0.677825340063855	232.900000000000
1.27298250986052	16.3193832857518	1.25615091299217	3.92408673759861e-17	0.682494407391031	232.950000000000
1.25937705815136	16.2394096294828	1.25772324683191	3.73270698431187e-17	0.685382097391215	233
1.24695657615399	16.2371417114683	1.25913400183449	3.55066000422291e-17	0.681718442395481	233.050000000000
1.24030081016029	16.3275711142031	1.26059050602460	3.37749247591993e-17	0.674633582238290	233.100000000000
1.24497720314478	16.3748141173342	1.26205124784216	3.21277027442251e-17	0.670761700756547	233.150000000000
1.25115571943887	16.4142811629130	1.26350944817119	3.05608109857018e-17	0.665315990371766	233.200000000000
1.26253528951047	16.4587172580912	1.26476675630923	2.90703424522924e-17	0.659737526752985	233.250000000000
1.27443347552921	16.4799103373859	1.26617977004328	2.76525617688615e-17	0.655803300646752	233.300000000000
1.29386236272036	16.5517745521020	1.26755694957874	2.63039267770415e-17	0.650623781643118	233.350000000000
1.31856672384185	16.6392847596385	1.26888244767881	2.50210695907731e-17	0.644267516492839	233.400000000000
1.36120029950921	16.8292757966861	1.27109812732519	2.26399976921461e-17	0.629438142247282	233.500000000000
1.40306133708768	17.1155416686216	1.27400856108839	2.04855112553291e-17	0.613915226951545	233.600000000000
1.41787948749298	17.2123444866105	1.27692048839735	1.85360570246025e-17	0.606009692321713	233.700000000000
1.41297172318366	17.2972954280120	1.27899100503087	1.67721176411426e-17	0.598625538093865	233.800000000000
1.38938481369094	17.2511897543321	1.27920008495687	1.59541316078915e-17	0.596880106051549	233.850000000000
1.37566731358922	17.2310457918447	1.27886883032078	1.51760398353093e-17	0.594755498346828	233.900000000000
1.34942433685522	17.2524561870526	1.27853487666440	1.44358949053589e-17	0.592081498278249	233.950000000000
1.27739176228964	17.2959178003577	1.28345021318374	1.30621355417759e-17	0.584867795730936	234.050000000000
1.26232793555345	17.2364471992250	1.28789502733982	1.24250901579492e-17	0.583314998237361	234.100000000000
1.24227655377544	17.1688063868880	1.29212990510444	1.18191114900023e-17	0.582779671066558	234.150000000000
1.23641931405123	17.1953937413277	1.29652790754551	1.12426857886091e-17	0.580046937003153	234.200000000000
1.22901782373964	17.1907712262939	1.30079277622625	1.06943743325623e-17	0.579398647242578	234.250000000000
1.22098263750763	17.1048564167655	1.30514555522789	1.01728034052106e-17	0.580671744860780	234.300000000000
1.22638676130596	17.1553481741355	1.30943228563720	9.67667102185417e-18	0.575556374109963	234.350000000000
1.24533481791577	17.1951059866751	1.31375557330550	9.20473498485259e-18	0.570861045040534	234.400000000000
1.30954370385646	17.2607054913781	1.32237486752297	8.32878947815144e-18	0.562000271141278	234.500000000000
1.33765326234660	17.3563211055474	1.32669328923454	7.92258867107204e-18	0.554208837264651	234.550000000000
1.39263246067393	17.4755315553073	1.33531659829582	7.16865429758861e-18	0.543071861749584	234.650000000000
1.41946177232247	17.4732124332697	1.33962609367055	6.81903449601247e-18	0.539664327200959	234.700000000000
1.44237205050997	17.5424193729625	1.34393984947582	6.48646543370449e-18	0.534504246196798	234.750000000000
1.46010046290045	17.5009873970446	1.34825175713353	6.17011570167863e-18	0.533236717823534	234.800000000000
1.46651612851820	17.4187786607308	1.35256388272669	5.86919627816247e-18	0.533511994053048	234.850000000000
1.46196670514466	17.4075799543438	1.35687668075068	5.58295093351165e-18	0.529639028571892	234.900000000000
1.45824650635106	17.3880300798179	1.36118848322069	5.31066649954623e-18	0.524819373439145	234.950000000000
1.44618733640123	17.3211909108119	1.36550124536355	5.05166179345680e-18	0.521784581107386	235
1.42568896999438	17.3180164955185	1.36981326261535	4.80528865563690e-18	0.517400194419895	235.050000000000
1.39856511408396	17.2511902334793	1.37412576230425	4.57093217207878e-18	0.515884774520282	235.100000000000
1.36815405337030	17.1643069062416	1.37843801286783	4.34800466450566e-18	0.515423380622510	235.150000000000
1.32930162629997	17.1788490588370	1.38275034146410	4.13594954771073e-18	0.511441336409320	235.200000000000
1.27943529200857	17.2262213172942	1.38706269669614	3.93423666197309e-18	0.505319091198609	235.250000000000
1.22893490070657	17.2717361053874	1.39137497668582	3.74236176600381e-18	0.499065107527921	235.300000000000
1.19313706226823	17.3456101674774	1.39568734019396	3.55984526998678e-18	0.491531202946650	235.350000000000
