filter_r	x		Wind_U		TI		Average_Ct
95		5.3		6		14		0.7831775
93		5.4		6		14		0.7831775
90		5.5		6		14		0.7831775
91		5.6		6		14		0.7831775
91		5.7		6		14		0.7831775
92		5.8		6		14		0.7831775
93		5.9		6		14		0.7831775
94		6		6		14		0.7831775
95		6.1		6		14		0.7831775
96		6.2		6		14		0.7831775
97		6.3		6		14		0.7831775
98		6.4		6		14		0.7831775
99		6.5		6		14		0.7831775
100		6.6		6		14		0.7831775
101		6.7		6		14		0.7831775
102		6.8		6		14		0.7831775
104		6.9		6		14		0.7831775
105		7		6		14		0.7831775
107		7.1		6		14		0.7831775
108		7.2		6		14		0.7831775
110		7.3		6		14		0.7831775
112		7.4		6		14		0.7831775
113		7.5		6		14		0.7831775
112		7.6		6		14		0.7831775
111		7.7		6		14		0.7831775
109		7.8		6		14		0.7831775
108		7.9		6		14		0.7831775
106		8		6		14		0.7831775
105		8.1		6		14		0.7831775
104		8.2		6		14		0.7831775
102		8.3		6		14		0.7831775
101		8.4		6		14		0.7831775
100		8.5		6		14		0.7831775
98		8.6		6		14		0.7831775
97		8.7		6		14		0.7831775
96		8.8		6		14		0.7831775
94		8.9		6		14		0.7831775
93		9		6		14		0.7831775
92		9.1		6		14		0.7831775
90		9.2		6		14		0.7831775
89		9.3		6		14		0.7831775
87		9.4		6		14		0.7831775
86		9.5		6		14		0.7831775
84		9.6		6		14		0.7831775
83		9.7		6		14		0.7831775
81		9.8		6		14		0.7831775
80		9.9		6		14		0.7831775
78		10		6		14		0.7831775
76		10.1		6		14		0.7831775
75		10.2		6		14		0.7831775
73		10.3		6		14		0.7831775
71		10.4		6		14		0.7831775
69		10.5		6		14		0.7831775
68		10.6		6		14		0.7831775
66		10.7		6		14		0.7831775
64		10.8		6		14		0.7831775
62		10.9		6		14		0.7831775
60		11		6		14		0.7831775
58		11.1		6		14		0.7831775
56		11.2		6		14		0.7831775
54		11.3		6		14		0.7831775
51		11.4		6		14		0.7831775
49		11.5		6		14		0.7831775
46		11.6		6		14		0.7831775
44		11.7		6		14		0.7831775
41		11.8		6		14		0.7831775
40		11.9		6		14		0.7831775
40		12		6		14		0.7831775
40		12.1		6		14		0.7831775
40		12.2		6		14		0.7831775
40		12.3		6		14		0.7831775
40		12.4		6		14		0.7831775
40		12.5		6		14		0.7831775
40		12.6		6		14		0.7831775
40		12.7		6		14		0.7831775
40		12.8		6		14		0.7831775
40		12.9		6		14		0.7831775
40		13		6		14		0.7831775
40		13.1		6		14		0.7831775
40		13.2		6		14		0.7831775
40		13.3		6		14		0.7831775
40		13.4		6		14		0.7831775
40		13.5		6		14		0.7831775
40		13.6		6		14		0.7831775
40		13.7		6		14		0.7831775
40		13.8		6		14		0.7831775
40		13.9		6		14		0.7831775
40		14		6		14		0.7831775
40		14.1		6		14		0.7831775
40		14.2		6		14		0.7831775
40		14.3		6		14		0.7831775
40		14.4		6		14		0.7831775
40		14.5		6		14		0.7831775
40		14.6		6		14		0.7831775
40		14.7		6		14		0.7831775
40		14.8		6		14		0.7831775
40		14.9		6		14		0.7831775
40		15		6		14		0.7831775
40		15.1		6		14		0.7831775
40		15.2		6		14		0.7831775
40		15.3		6		14		0.7831775
40		15.4		6		14		0.7831775
40		15.5		6		14		0.7831775
40		15.6		6		14		0.7831775
40		15.7		6		14		0.7831775
40		15.8		6		14		0.7831775
40		15.9		6		14		0.7831775
40		16		6		14		0.7831775
40		16.1		6		14		0.7831775
40		16.2		6		14		0.7831775
40		16.3		6		14		0.7831775
40		16.4		6		14		0.7831775
40		16.5		6		14		0.7831775
142		0.1		10		6		0.7516035
140		0.2		10		6		0.7516035
138		0.3		10		6		0.7516035
136		0.4		10		6		0.7516035
134		0.5		10		6		0.7516035
132		0.6		10		6		0.7516035
130		0.7		10		6		0.7516035
128		0.8		10		6		0.7516035
126		0.9		10		6		0.7516035
124		1		10		6		0.7516035
122		1.1		10		6		0.7516035
120		1.2		10		6		0.7516035
118		1.3		10		6		0.7516035
116		1.4		10		6		0.7516035
114		1.5		10		6		0.7516035
112		1.6		10		6		0.7516035
110		1.7		10		6		0.7516035
108		1.8		10		6		0.7516035
106		1.9		10		6		0.7516035
104		2		10		6		0.7516035
102		2.1		10		6		0.7516035
100		2.2		10		6		0.7516035
98		2.3		10		6		0.7516035
96		2.4		10		6		0.7516035
94		2.5		10		6		0.7516035
92		2.6		10		6		0.7516035
89		2.7		10		6		0.7516035
87		2.8		10		6		0.7516035
85		2.9		10		6		0.7516035
83		3		10		6		0.7516035
81		3.1		10		6		0.7516035
79		3.2		10		6		0.7516035
77		3.3		10		6		0.7516035
76		3.4		10		6		0.7516035
74		3.5		10		6		0.7516035
73		3.6		10		6		0.7516035
73		3.7		10		6		0.7516035
72		3.8		10		6		0.7516035
72		3.9		10		6		0.7516035
71		4		10		6		0.7516035
71		4.1		10		6		0.7516035
70		4.2		10		6		0.7516035
69		4.3		10		6		0.7516035
69		4.4		10		6		0.7516035
68		4.5		10		6		0.7516035
68		4.6		10		6		0.7516035
67		4.7		10		6		0.7516035
67		4.8		10		6		0.7516035
67		4.9		10		6		0.7516035
66		5		10		6		0.7516035
66		5.1		10		6		0.7516035
65		5.2		10		6		0.7516035
65		5.3		10		6		0.7516035
65		5.4		10		6		0.7516035
64		5.5		10		6		0.7516035
64		5.6		10		6		0.7516035
64		5.7		10		6		0.7516035
64		5.8		10		6		0.7516035
63		5.9		10		6		0.7516035
63		6		10		6		0.7516035
63		6.1		10		6		0.7516035
63		6.2		10		6		0.7516035
63		6.3		10		6		0.7516035
63		6.4		10		6		0.7516035
63		6.5		10		6		0.7516035
63		6.6		10		6		0.7516035
62		6.7		10		6		0.7516035
62		6.8		10		6		0.7516035
62		6.9		10		6		0.7516035
62		7		10		6		0.7516035
62		7.1		10		6		0.7516035
62		7.2		10		6		0.7516035
62		7.3		10		6		0.7516035
62		7.4		10		6		0.7516035
62		7.5		10		6		0.7516035
62		7.6		10		6		0.7516035
61		7.7		10		6		0.7516035
61		7.8		10		6		0.7516035
61		7.9		10		6		0.7516035
61		8		10		6		0.7516035
60		8.1		10		6		0.7516035
60		8.2		10		6		0.7516035
60		8.3		10		6		0.7516035
60		8.4		10		6		0.7516035
59		8.5		10		6		0.7516035
59		8.6		10		6		0.7516035
59		8.7		10		6		0.7516035
58		8.8		10		6		0.7516035
58		8.9		10		6		0.7516035
58		9		10		6		0.7516035
58		9.1		10		6		0.7516035
57		9.2		10		6		0.7516035
57		9.3		10		6		0.7516035
57		9.4		10		6		0.7516035
57		9.5		10		6		0.7516035
56		9.6		10		6		0.7516035
56		9.7		10		6		0.7516035
56		9.8		10		6		0.7516035
56		9.9		10		6		0.7516035
55		10		10		6		0.7516035
55		10.1		10		6		0.7516035
55		10.2		10		6		0.7516035
55		10.3		10		6		0.7516035
55		10.4		10		6		0.7516035
54		10.5		10		6		0.7516035
54		10.6		10		6		0.7516035
54		10.7		10		6		0.7516035
54		10.8		10		6		0.7516035
53		10.9		10		6		0.7516035
53		11		10		6		0.7516035
53		11.1		10		6		0.7516035
53		11.2		10		6		0.7516035
52		11.3		10		6		0.7516035
52		11.4		10		6		0.7516035
52		11.5		10		6		0.7516035
52		11.6		10		6		0.7516035
51		11.7		10		6		0.7516035
51		11.8		10		6		0.7516035
51		11.9		10		6		0.7516035
51		12		10		6		0.7516035
51		12.1		10		6		0.7516035
50		12.2		10		6		0.7516035
50		12.3		10		6		0.7516035
50		12.4		10		6		0.7516035
50		12.5		10		6		0.7516035
50		12.6		10		6		0.7516035
49		12.7		10		6		0.7516035
49		12.8		10		6		0.7516035
49		12.9		10		6		0.7516035
49		13		10		6		0.7516035
49		13.1		10		6		0.7516035
49		13.2		10		6		0.7516035
48		13.3		10		6		0.7516035
48		13.4		10		6		0.7516035
48		13.5		10		6		0.7516035
48		13.6		10		6		0.7516035
48		13.7		10		6		0.7516035
47		13.8		10		6		0.7516035
47		13.9		10		6		0.7516035
47		14		10		6		0.7516035
47		14.1		10		6		0.7516035
47		14.2		10		6		0.7516035
46		14.3		10		6		0.7516035
46		14.4		10		6		0.7516035
46		14.5		10		6		0.7516035
46		14.6		10		6		0.7516035
46		14.7		10		6		0.7516035
45		14.8		10		6		0.7516035
45		14.9		10		6		0.7516035
45		15		10		6		0.7516035
45		15.1		10		6		0.7516035
45		15.2		10		6		0.7516035
45		15.3		10		6		0.7516035
44		15.4		10		6		0.7516035
44		15.5		10		6		0.7516035
44		15.6		10		6		0.7516035
44		15.7		10		6		0.7516035
44		15.8		10		6		0.7516035
44		15.9		10		6		0.7516035
44		16		10		6		0.7516035
43		16.1		10		6		0.7516035
43		16.2		10		6		0.7516035
43		16.3		10		6		0.7516035
43		16.4		10		6		0.7516035
43		16.5		10		6		0.7516035
96		0.1		15		6		0.4645603
95		0.2		15		6		0.4645603
94		0.3		15		6		0.4645603
93		0.4		15		6		0.4645603
92		0.5		15		6		0.4645603
91		0.6		15		6		0.4645603
90		0.7		15		6		0.4645603
89		0.8		15		6		0.4645603
88		0.9		15		6		0.4645603
87		1		15		6		0.4645603
86		1.1		15		6		0.4645603
85		1.2		15		6		0.4645603
84		1.3		15		6		0.4645603
83		1.4		15		6		0.4645603
82		1.5		15		6		0.4645603
81		1.6		15		6		0.4645603
80		1.7		15		6		0.4645603
79		1.8		15		6		0.4645603
78		1.9		15		6		0.4645603
77		2		15		6		0.4645603
76		2.1		15		6		0.4645603
75		2.2		15		6		0.4645603
74		2.3		15		6		0.4645603
73		2.4		15		6		0.4645603
72		2.5		15		6		0.4645603
71		2.6		15		6		0.4645603
70		2.7		15		6		0.4645603
69		2.8		15		6		0.4645603
68		2.9		15		6		0.4645603
67		3		15		6		0.4645603
66		3.1		15		6		0.4645603
66		3.2		15		6		0.4645603
65		3.3		15		6		0.4645603
64		3.4		15		6		0.4645603
63		3.5		15		6		0.4645603
63		3.6		15		6		0.4645603
63		3.7		15		6		0.4645603
63		3.8		15		6		0.4645603
62		3.9		15		6		0.4645603
62		4		15		6		0.4645603
62		4.1		15		6		0.4645603
62		4.2		15		6		0.4645603
62		4.3		15		6		0.4645603
62		4.4		15		6		0.4645603
62		4.5		15		6		0.4645603
61		4.6		15		6		0.4645603
61		4.7		15		6		0.4645603
60		4.8		15		6		0.4645603
60		4.9		15		6		0.4645603
60		5		15		6		0.4645603
59		5.1		15		6		0.4645603
59		5.2		15		6		0.4645603
58		5.3		15		6		0.4645603
58		5.4		15		6		0.4645603
58		5.5		15		6		0.4645603
57		5.6		15		6		0.4645603
57		5.7		15		6		0.4645603
57		5.8		15		6		0.4645603
56		5.9		15		6		0.4645603
56		6		15		6		0.4645603
56		6.1		15		6		0.4645603
55		6.2		15		6		0.4645603
55		6.3		15		6		0.4645603
55		6.4		15		6		0.4645603
55		6.5		15		6		0.4645603
54		6.6		15		6		0.4645603
54		6.7		15		6		0.4645603
54		6.8		15		6		0.4645603
53		6.9		15		6		0.4645603
53		7		15		6		0.4645603
53		7.1		15		6		0.4645603
52		7.2		15		6		0.4645603
52		7.3		15		6		0.4645603
52		7.4		15		6		0.4645603
51		7.5		15		6		0.4645603
51		7.6		15		6		0.4645603
51		7.7		15		6		0.4645603
51		7.8		15		6		0.4645603
50		7.9		15		6		0.4645603
50		8		15		6		0.4645603
50		8.1		15		6		0.4645603
50		8.2		15		6		0.4645603
49		8.3		15		6		0.4645603
49		8.4		15		6		0.4645603
49		8.5		15		6		0.4645603
49		8.6		15		6		0.4645603
48		8.7		15		6		0.4645603
48		8.8		15		6		0.4645603
48		8.9		15		6		0.4645603
48		9		15		6		0.4645603
47		9.1		15		6		0.4645603
47		9.2		15		6		0.4645603
47		9.3		15		6		0.4645603
47		9.4		15		6		0.4645603
46		9.5		15		6		0.4645603
46		9.6		15		6		0.4645603
46		9.7		15		6		0.4645603
46		9.8		15		6		0.4645603
45		9.9		15		6		0.4645603
45		10		15		6		0.4645603
45		10.1		15		6		0.4645603
45		10.2		15		6		0.4645603
44		10.3		15		6		0.4645603
44		10.4		15		6		0.4645603
44		10.5		15		6		0.4645603
43		10.6		15		6		0.4645603
42		10.7		15		6		0.4645603
41		10.8		15		6		0.4645603
40		10.9		15		6		0.4645603
40		11		15		6		0.4645603
40		11.1		15		6		0.4645603
40		11.2		15		6		0.4645603
40		11.3		15		6		0.4645603
40		11.4		15		6		0.4645603
40		11.5		15		6		0.4645603
40		11.6		15		6		0.4645603
40		11.7		15		6		0.4645603
40		11.8		15		6		0.4645603
40		11.9		15		6		0.4645603
40		12		15		6		0.4645603
40		12.1		15		6		0.4645603
40		12.2		15		6		0.4645603
40		12.3		15		6		0.4645603
40		12.4		15		6		0.4645603
40		12.5		15		6		0.4645603
40		12.6		15		6		0.4645603
40		12.7		15		6		0.4645603
40		12.8		15		6		0.4645603
40		12.9		15		6		0.4645603
40		13		15		6		0.4645603
40		13.1		15		6		0.4645603
40		13.2		15		6		0.4645603
40		13.3		15		6		0.4645603
40		13.4		15		6		0.4645603
40		13.5		15		6		0.4645603
40		13.6		15		6		0.4645603
40		13.7		15		6		0.4645603
40		13.8		15		6		0.4645603
40		13.9		15		6		0.4645603
40		14		15		6		0.4645603
40		14.1		15		6		0.4645603
40		14.2		15		6		0.4645603
40		14.3		15		6		0.4645603
40		14.4		15		6		0.4645603
40		14.5		15		6		0.4645603
40		14.6		15		6		0.4645603
40		14.7		15		6		0.4645603
40		14.8		15		6		0.4645603
40		14.9		15		6		0.4645603
40		15		15		6		0.4645603
40		15.1		15		6		0.4645603
40		15.2		15		6		0.4645603
40		15.3		15		6		0.4645603
40		15.4		15		6		0.4645603
40		15.5		15		6		0.4645603
40		15.6		15		6		0.4645603
40		15.7		15		6		0.4645603
40		15.8		15		6		0.4645603
40		15.9		15		6		0.4645603
40		16		15		6		0.4645603
40		16.1		15		6		0.4645603
40		16.2		15		6		0.4645603
40		16.3		15		6		0.4645603
40		16.4		15		6		0.4645603
40		16.5		15		6		0.4645603
